course_id,course_name,course_category_id,class_hours,credit_hours ,examination_method ,instructor_name ,course_explain
1,Assistant Professor,1,92,34,Rubber,Burr Giacopetti,Injury-firearm/expl NOS
2,Pharmacist,2,74,41,Glass,Junie Sollam,Suicidal ideation
3,Assistant Media Planner,3,88,65,Plexiglass,Marillin Kneale,Joint dis NEC-ankle
4,Media Manager I,4,26,12,Wood,Henrieta Bidmead,Pelvic fracture NEC-open
5,Help Desk Technician,5,75,15,Plastic,Geri Kirsz,Phlebitis intrcran sinus
6,Speech Pathologist,6,94,72,Glass,Courtney Macari,Degeneration of eye NOS
7,Compensation Analyst,7,38,77,Glass,Farlee Manlow,Delay p/part hem-unspec
8,Geological Engineer,8,64,40,Vinyl,Wynne Constanza,Handgun accident
9,Mechanical Systems Engineer,9,65,27,Brass,Rudolfo Goody,Acne NEC
10,Payment Adjustment Coordinator,10,25,92,Vinyl,Konrad Hynes,TB urinary NEC-exam unkn
11,Marketing Manager,11,54,38,Brass,Walker Arne,Uns mno leu wo ach rmsn
12,Help Desk Technician,12,12,90,Stone,Isacco Vann,3rd burn w loss-forearm
13,Director of Sales,13,29,86,Steel,Cristobal Crass,Chr tot occlus cor artry
14,Senior Developer,14,10,78,Aluminum,Jeana Domeny,Pruritus ani
15,Nurse Practicioner,15,99,40,Vinyl,Vincents Dumbarton,Acc cut in med care NOS
16,Clinical Specialist,16,95,100,Wood,Rupert Hull,Fx shaft tibia w fib-opn
17,Biostatistician II,17,21,4,Granite,Eran McCloch,Hx resp system dis NEC
18,Business Systems Development Analyst,18,15,26,Vinyl,Rochell Casillis,Sprain sacrotuberous
19,Sales Representative,19,42,54,Plexiglass,Martha Perrins,Amebiasis NOS
20,Project Manager,20,64,21,Plexiglass,Eleni Schimke,Path fx oth spcf prt fmr
21,Electrical Engineer,21,16,21,Plastic,Cassi Haresnaip,Obsv-adult antisoc behav
22,Cost Accountant,22,88,97,Stone,Cordy Crabtree,Osteitis deformans NOS
23,Research Assistant III,23,8,57,Stone,Locke Goudard,Longitud defic phalanges
24,Registered Nurse,24,81,86,Granite,Jsandye Arundel,Path fx tibia fibula
25,Junior Executive,25,15,54,Steel,Sisile Akers,Gstrontest vesl anomaly
26,Director of Sales,26,76,37,Plexiglass,Terza Hoggan,Cl skl fx NEC-proln coma
27,Help Desk Technician,27,2,5,Plastic,Charil Kermit,Alveolar mandib hyprplas
28,Community Outreach Specialist,28,52,100,Brass,Candida Aires,Breast neoplasm NOS
29,VP Product Management,29,59,81,Vinyl,Ryann Hilldrup,Oth abn Pap smr anus/HPV
30,Professor,30,27,20,Steel,Arda Enoch,RR coll NOS-ped cyclist
31,Food Chemist,31,22,94,Rubber,Gordy Spens,Poisoning-plague vaccine
32,Senior Financial Analyst,32,27,86,Plexiglass,Lulu Lyste,Lte ef-mplga low lmb NOS
33,Accountant I,33,68,65,Stone,Maighdiln Sahnow,Benign neo cranial nerve
34,Staff Scientist,34,77,51,Plexiglass,Debby Middiff,Eclampsia-unspecified
35,Clinical Specialist,35,82,89,Rubber,Randi Feighney,Senile degenerat brain
36,Nurse Practicioner,36,39,70,Plastic,Husein Gierek,Infc free-liv amebae NEC
37,Research Assistant I,37,97,18,Stone,Ingeberg Grimmer,Blood asp w resp sympt
38,Accountant I,38,49,91,Rubber,Munmro Grzelczak,Ob pyemic embol-postpart
39,Engineer IV,39,68,95,Rubber,Malcolm Botten,Dis mid ear/mastoid NEC
40,Speech Pathologist,40,27,19,Granite,Nariko Shoute,Oral soft tissue cyst
41,Web Designer I,41,84,92,Rubber,Glendon Southard,Leg ab w compl NEC-inc
42,GIS Technical Architect,42,98,30,Vinyl,Antonina Babbe,Screen-alphafetoprotein
43,Teacher,43,40,40,Wood,Twila Dallander,Intrathorac inj NEC-open
44,Payment Adjustment Coordinator,44,44,35,Brass,Giulia Stripling,Fx c6 vertebra-open
45,Electrical Engineer,45,33,40,Aluminum,Kerwinn Kirkman,Endodontic overfill
46,VP Quality Control,46,98,40,Granite,Lorilee Giggs,Glaucoma stage NOS
47,Media Manager IV,47,36,28,Vinyl,Pennie Dachs,Open wound penis-compl
48,Administrative Officer,48,97,98,Plastic,Jarad McCrackem,Lactat dis NEC-del w p/p
49,Staff Accountant III,49,50,28,Steel,Darrell Burgill,"Liver lacerat, major-opn"
50,Account Representative II,50,95,99,Rubber,Barron Bryenton,Cellulitis of arm
51,Assistant Media Planner,51,27,71,Glass,Gloriane Hulk,Intestinovesical fistula
52,VP Quality Control,52,4,31,Plastic,Jonathan Dayne,Adv eff antipsychotc NEC
53,Senior Editor,53,70,5,Brass,Guthry Odda,Insomnia in other dis
54,Sales Associate,54,52,71,Plexiglass,Byrom Checklin,Weaning from respirator
55,Programmer Analyst II,55,57,23,Plastic,Georgiana Rewcastle,Measles uncomplicated
56,Food Chemist,56,45,51,Rubber,Prescott Tring,Anphylct reaction fish
57,Staff Accountant II,57,17,1,Steel,Dotty Aymes,Unilateral small kidney
58,Assistant Media Planner,58,80,40,Plexiglass,Doyle Hartburn,Open wound of face NEC
59,Human Resources Assistant IV,59,97,78,Plexiglass,Leeanne Fargie,Other air leak
60,Dental Hygienist,60,52,34,Vinyl,Willem Forestel,Corneal opacity NOS
61,Pharmacist,61,60,42,Stone,Chaim Bravery,Sqm cell ca skn site NEC
62,Software Consultant,62,9,65,Steel,Cecil Hadlee,War inj:guided missile
63,Editor,63,45,84,Rubber,Caro Waadenburg,Episdic tension headache
64,Data Coordinator,64,62,53,Steel,Sibbie Sapseed,TB of knee-no exam
65,Sales Representative,65,17,12,Stone,Rosco Vaney,Sezary's disease head
66,VP Marketing,66,88,21,Granite,Hussein Van Leijs,"Keratoconus, ac hydrops"
67,Analyst Programmer,67,40,33,Brass,Hephzibah McGourty,Abn react-surg proc NEC
68,Civil Engineer,68,16,44,Glass,Alexi Stenton,TB laryngitis-unspec
69,Actuary,69,28,79,Plexiglass,Maynord De Vries,Dislocat knee NEC-closed
70,Staff Accountant I,70,15,37,Stone,Pattie Curran,Subarachnoid hem-no coma
71,Internal Auditor,71,31,74,Glass,Ebonee Lawrenson,Unc behav neo male NEC
72,Accountant I,72,77,2,Rubber,Florella Burnhill,Microscopic hematuria
