department_id,department_name,department_head
1,Accounting,Darren Lukes
2,Human Resources,Jacky Merlin
3,Marketing,Gilli Jacobowitz
4,Training,Hanson Fillery
5,Human Resources,Brenda Howden
6,Training,Leigh Yu
7,Human Resources,Yasmeen Davion
8,Training,Andriette Halliberton
9,Marketing,Biron Klimshuk
10,Support,Murdoch Farrears
11,Marketing,Richy Howselee
12,Accounting,Patricia Rain
13,Sales,Magda Moorhead
14,Legal,Reinald Seacombe
15,Legal,Cheri Mompesson
16,Business Development,Peria Scouse
17,Product Management,Kiele Sketch
18,Training,Robinet Ridel
19,Sales,Staci Holbie
20,Marketing,Ritchie McAlarney
21,Training,Clarinda Baal
22,Business Development,Dulcia Louw
23,Product Management,Timoteo Ollenbuttel
24,Legal,Rudolf Gillean
25,Marketing,Shaun M'Quharg
26,Engineering,Thom Markel
27,Marketing,Trent Slinger
28,Legal,Jolene Halliday
29,Sales,Merridie Whorall
30,Training,Urban Stoven
