employee_id,employee_firstname,employee_lastname,employee_dob,employee_gender,employee_contact_number,employee_id_card_no,employee_emergency_contact_name,employee_emergency_contact_number,employee_status,employee_employment_type,employee_department,employee_position,employee_hire_date,employee_termination_date,employee_employment_status,employee_manager,employee_salary_info,employee_benefits
1,Georges,Laudham,1/3/2023,Male,5621425220,7321659143,Georges Laudham,7059643631,Male,Daily,50260,1,5/4/2023,7/13/2023,Male,1,1,5193957196
2,Bird,Padbery,10/24/2023,Female,2384645638,3989271989,Bird Padbery,6702476344,Female,Seldom,246,2,8/22/2023,11/10/2023,Female,2,2,0040912493
3,Merola,Clinkard,2/20/2022,Female,6152152050,0534127770,Merola Clinkard,9794095796,Male,Seldom,92,3,3/20/2023,10/4/2023,Male,3,3,1184092125
4,Nerta,Hebburn,4/21/2023,Female,4907997047,4673394631,Nerta Hebburn,3928669515,Male,Often,89744,4,3/20/2023,1/27/2023,Female,4,4,4597601171
5,Gusti,Carillo,11/7/2022,Non-binary,3217230229,3363107277,Gusti Carillo,9776226589,Female,Often,1993,5,8/6/2023,10/26/2023,Male,5,5,1989158072
6,Nataniel,Gaye,8/26/2023,Male,9208462362,9578580746,Nataniel Gaye,4161822274,Male,Never,76805,6,11/8/2023,11/28/2022,Female,6,6,8408658204
7,Olvan,Sugars,4/8/2023,Male,7938443668,8866322652,Olvan Sugars,2432614844,Female,Weekly,7854,7,2/5/2023,10/18/2023,Male,7,7,9226828164
8,Laureen,Dundredge,1/3/2023,Female,4148025007,6894124841,Laureen Dundredge,4388247470,Female,Monthly,05,8,12/1/2022,9/10/2023,Female,8,8,3379786217
9,Rick,Ofer,5/28/2023,Male,7484419842,0737664983,Rick Ofer,3498036077,Female,Never,74,9,9/10/2023,8/2/2023,Female,9,9,6668487394
10,Burlie,Fennelow,1/30/2022,Male,7114603686,7759529589,Burlie Fennelow,3154486854,Male,Never,90,10,3/17/2023,4/2/2023,Female,10,10,3046515715
11,Durand,Liston,9/21/2022,Male,1509302498,9038342640,Durand Liston,7517290824,Female,Never,12,11,10/3/2023,3/22/2023,Female,11,11,7587428887
12,Francklyn,Vogel,1/30/2023,Male,9909863944,1125379863,Francklyn Vogel,9622240461,Male,Often,74,12,11/2/2023,9/20/2023,Female,12,12,0533829151
13,Lev,Chittem,3/10/2022,Male,1636013050,6162213153,Lev Chittem,1589992418,Female,Once,0,13,2/18/2023,10/30/2023,Male,13,13,5678852205
14,Nathalie,Huygen,9/7/2023,Female,9699590258,3460141808,Nathalie Huygen,4049688030,Male,Yearly,21605,14,6/17/2023,3/27/2023,Female,14,14,6111570412
15,Evin,Brunnstein,12/7/2021,Male,2533129648,1150536861,Evin Brunnstein,4036696659,Male,Monthly,5,15,6/11/2023,6/7/2023,Male,15,15,9060900782
16,Breena,Malamore,7/24/2022,Female,8781565516,0163652864,Breena Malamore,2157423032,Male,Yearly,0835,16,6/6/2023,3/5/2023,Female,16,16,6890959426
17,Dina,Verecker,6/24/2023,Female,2035237298,4459983745,Dina Verecker,2494488553,Female,Seldom,1569,17,3/15/2023,6/2/2023,Female,17,17,9974207827
18,Haydon,Dwerryhouse,1/20/2023,Agender,2502485009,8109107516,Haydon Dwerryhouse,6294006723,Female,Weekly,72,18,5/7/2023,12/1/2022,Female,18,18,7557058216
19,Pablo,Kulic,2/11/2023,Male,6189910113,0020982038,Pablo Kulic,3503827589,Male,Weekly,2,19,1/5/2023,10/26/2023,Male,19,19,4297055805
20,Gilburt,Blundon,8/7/2022,Male,1855713514,3213150479,Gilburt Blundon,6591849145,Female,Monthly,848,20,8/7/2023,10/15/2023,Female,20,20,2280072920
21,Alejoa,McCleod,3/25/2023,Male,5846613286,4166283642,Alejoa McCleod,3569615953,Female,Never,64,21,4/20/2023,7/20/2023,Male,21,21,9503362571
22,Rhona,Jobbings,10/1/2023,Female,3118568125,2127955455,Rhona Jobbings,2112777390,Male,Seldom,51,22,10/13/2023,1/19/2023,Female,22,22,5763580753
23,Chen,Raigatt,3/22/2022,Male,4023312088,4736295406,Chen Raigatt,2697221012,Female,Yearly,79,23,12/22/2022,9/5/2023,Female,23,23,8549649287
24,Shawna,Overland,3/22/2023,Female,7741397960,9252770178,Shawna Overland,4005726078,Male,Never,0,24,9/26/2023,1/6/2023,Male,24,24,8545173040
25,Bron,Tasseler,3/5/2023,Male,4121629877,6101034860,Bron Tasseler,4842933219,Male,Never,9,25,2/22/2023,7/10/2023,Female,25,25,0506293394
26,Percival,Emery,7/23/2023,Male,5189815756,7310882695,Percival Emery,2436016967,Male,Once,83596,26,11/22/2023,5/28/2023,Female,26,26,5310007261
27,Joela,Ponceford,9/9/2022,Female,1904572544,3660668834,Joela Ponceford,1953952596,Male,Once,751,27,7/20/2023,6/26/2023,Male,27,27,3792003821
28,Chandal,Clohissy,7/26/2023,Female,3697554138,4397997713,Chandal Clohissy,8977885440,Male,Never,65,28,10/15/2023,2/1/2023,Male,28,28,5453602155
29,Thorstein,McMillam,7/13/2023,Male,7093077153,7271196773,Thorstein McMillam,4721311336,Female,Yearly,4210,29,5/9/2023,1/30/2023,Male,29,29,4499719895
30,Louie,Murdy,3/9/2022,Male,8539035154,6807559240,Louie Murdy,9985047656,Male,Never,5,30,4/5/2023,1/22/2023,Female,30,30,0343275686
31,Chester,Ivie,9/6/2023,Male,5355107181,2129986234,Chester Ivie,3273356544,Male,Often,80449,31,8/22/2023,10/31/2023,Female,31,31,6356748230
32,Cynde,Shark,7/7/2023,Female,2371531415,7914604194,Cynde Shark,4325209139,Female,Weekly,885,32,1/24/2023,9/29/2023,Female,32,32,7862403819
33,Marc,Brearton,2/6/2022,Male,7147668400,3824212684,Marc Brearton,3066006395,Male,Once,21887,33,11/30/2022,10/6/2023,Female,33,33,6789300163
34,Ulrikaumeko,Stewartson,2/9/2023,Female,3896181872,5722874329,Ulrikaumeko Stewartson,1303594297,Male,Seldom,12,34,4/6/2023,5/25/2023,Female,34,34,7967011945
35,Robbin,Mauvin,4/4/2023,Female,7125621981,5581069581,Robbin Mauvin,2959443612,Male,Once,73,35,9/13/2023,6/20/2023,Male,35,35,4316062115
36,Leodora,Ashlin,4/24/2023,Female,3227326580,8852087311,Leodora Ashlin,6221915454,Male,Yearly,4,36,4/29/2023,1/17/2023,Male,36,36,3949025693
37,Eda,Cayford,2/22/2022,Female,9715952448,3190822921,Eda Cayford,8178744652,Female,Seldom,7,37,11/3/2023,5/30/2023,Female,37,37,9049259618
38,Gibby,Sweetzer,3/6/2023,Male,7047661602,4532665612,Gibby Sweetzer,6638393422,Male,Yearly,195,38,2/7/2023,4/30/2023,Female,38,38,9776386032
39,Rowland,Gisburn,8/11/2022,Male,9454801316,5052502478,Rowland Gisburn,5209609803,Female,Never,66,39,3/10/2023,11/26/2022,Male,39,39,1556537581
40,Padget,Overal,11/16/2022,Male,9722444310,2402985674,Padget Overal,3904222897,Female,Seldom,1,40,4/28/2023,11/11/2023,Male,40,40,5855191648
41,Arleta,Kobel,11/14/2022,Female,7983366878,9099291302,Arleta Kobel,2011679119,Female,Weekly,4668,41,11/21/2023,10/17/2023,Female,41,41,7656669744
42,Teddi,Bussy,10/29/2022,Female,1027704951,0345586468,Teddi Bussy,1955162810,Female,Yearly,9,42,4/25/2023,5/29/2023,Male,42,42,3096353638
43,Nannie,Manson,1/10/2023,Female,9668612032,4842032413,Nannie Manson,4654580092,Female,Often,58240,43,6/12/2023,10/5/2023,Male,43,43,0557851513
44,Olivier,Wavish,7/14/2023,Male,4411818334,1342000641,Olivier Wavish,5807728774,Male,Never,4,44,6/14/2023,8/11/2023,Female,44,44,8015388511
45,Kennith,Mullord,9/26/2023,Male,1239713992,0553366769,Kennith Mullord,2658586337,Female,Monthly,219,45,5/18/2023,6/19/2023,Male,45,45,7534463416
46,Della,Skuce,3/20/2022,Female,3112670749,4223410946,Della Skuce,2993989283,Female,Once,7851,46,3/3/2023,10/23/2023,Male,46,46,5492892347
