training_plans_id,training_plans_name,training_category_code,training_plan_description,training_plan_start_date,training_plan_end_date,training_plan_location,training_plan_contact_person
1,sbuffery0,RPR,"Maternal care for excessive fetal growth, second trimester, other fetus",3/3/2023,9/7/2023,Velykyi Bereznyi,Stephani Buffery
2,csully1,MRC,Dieulafoy lesion of intestine,4/20/2023,8/30/2023,Przystajń,Colby Sully
3,aworkes2,MDY,"Military operations involving fragments from munitions, civilian, initial encounter",4/17/2023,12/12/2023,Cileuya,Albertina Workes
4,jtennant3,LTS,"Inhalant use, unspecified with intoxication with delirium",3/21/2023,7/21/2023,Noen Maprang,Jedidiah Tennant
5,fteissier4,GBK,Encounter for screening for malignant neoplasm of intestinal tract,3/20/2023,7/23/2023,Daja,Flint Teissier
6,atompkiss5,RYN,"Car passenger injured in noncollision transport accident in traffic accident, subsequent encounter",3/23/2023,7/18/2023,Duwayr Raslān,Adolpho Tompkiss
7,tmillimoe6,TAQ,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",4/9/2023,6/28/2023,Kafr ad Dawwār,Tildi Millimoe
8,avowels7,BZB,"Poisoning by antidiarrheal drugs, accidental (unintentional), subsequent encounter",1/21/2023,9/10/2023,Citeluk,Amalea Vowels
9,ucrommett8,WSM,Benign neoplasm of other specified female genital organs,4/14/2023,10/11/2023,Ayotupas,Ulberto Crommett
10,kbaddow9,BLL,"Fracture of subcondylar process of mandible, unspecified side, initial encounter for closed fracture",3/29/2023,11/7/2023,Aimadamodo,Kathlin Baddow
11,vrouthorna,CRE,"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with nonunion",3/2/2023,11/2/2023,Néa Plágia,Vivie Routhorn
12,lpriddingb,MJR,"Fracture of unspecified tarsal bone(s) of right foot, initial encounter for open fracture",4/2/2023,6/7/2023,Hengbanqiao,Lise Pridding
13,dbolandc,HUG,Cellulitis of finger,2/23/2023,8/25/2023,Nassarawa,Dallas Boland
